YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours),Proportion of Energy in Year,Residential,Commercial,Industrial,Transportation,Total,Energy Surplus
2000,NY,Total Electric Power Industry,Total,1380790750,1.0,125047564.2,117544944.8,41264406.68,106291015.7,390147931.5,990642818.5
2001,NY,Total Electric Power Industry,Total,1439145590,1.0,126008837.3,118447603.7,41583854.15,107105753.3,393146048.5,1045999541.5
2002,NY,Total Electric Power Industry,Total,1395916880,1.0,132673273.5,124713463.2,43781887.17,112773747.8,413942371.6,981974508.4
2003,NY,Total Electric Power Industry,Total,1376433160,1.0,133789874.2,125762657.6,44151156.72,113720367.4,417424056.0,959009104.0
2004,NY,Total Electric Power Industry,Total,1379647940,1.0,135483825.0,127356964.3,44710922.47,115162277.0,422713988.8,956933951.2
2005,NY,Total Electric Power Industry,Total,1468874190,1.0,142535115.0,133983301.2,47037906.76,121155580.4,444711903.3,1024162286.7
2006,NY,Total Electric Power Industry,Total,1422654320,1.0,141729169.5,133224247.1,46771212.09,120469794.1,442194422.8,980459897.2
2007,NY,Total Electric Power Industry,Total,1458786870,1.0,145999215.0,137239320.7,48180883.94,124098014.0,455517433.7,1003269436.3
2008,NY,Total Electric Power Industry,Total,1403221000,1.0,144782970.1,136096343.6,47779376.57,123066403.8,451725094.0,951495906.0
2009,NY,Total Electric Power Industry,Total,1331505500,1.0,143115395.7,134528413.3,47228402.96,121647939.8,446520151.8,884985348.2
2010,NY,Total Electric Power Industry,Total,1369616540,1.0,151605664.6,142508738.6,50030162.39,128863349.6,473007915.1,896608624.9
2011,NY,Total Electric Power Industry,Total,13748034695,1.0,149202481.8,140252091.3,49235939.79,126823574.9,465514087.9,13282520607.1
2012,NY,Total Electric Power Industry,Total,1357682440,1.0,144141144.4,135492617.2,47565434.69,122518360.9,449717557.2,907964882.8
2013,NY,Total Electric Power Industry,Total,13611682997,1.0,146268840.4,137491361.9,48268805.26,124326609.4,456355616.9,13155327380.1
2014,NY,Total Electric Power Industry,Total,1370773120,1.0,147567145.3,138713468.2,48696689.02,125431487.3,460408789.8,910364330.2
2015,NY,Total Electric Power Industry,Total,1385816860,1.0,147241836.4,138408674.3,48591183.43,125156000.5,459397694.6,926419165.4
2016,NY,Total Electric Power Industry,Total,1343767150,1.0,147971583.3,139094460.6,48831501.71,125777311.2,461674856.8,882092293.2
2017,NY,Total Electric Power Industry,Total,1280253860,1.0,144571958.9,135899985.9,47709039.51,122887630.4,451068614.8,829185245.2
2018,NY,Total Electric Power Industry,Total,1325205010,1.0,154058669.5,144815207.9,50839038.54,130950015.6,480662931.5,844542078.5
2019,NY,Total Electric Power Industry,Total,1316032890,1.0,151037106.7,141975349.2,49842596.9,128382713.0,471237765.9,844795124.1
2020,NY,Total Electric Power Industry,Total,1294302710,1.0,153586825.0,144372670.6,50683710.88,130548508.2,479191714.7,815110995.3
2021,NY,Total Electric Power Industry,Total,1249449350,1.0,154841169.2,145550816.3,51096941.08,131615286.9,483104213.5,766345136.5
